ALUop,Instruction Name ,Op2_Select,Mem_op,Mem_read,Mem_write,Result_select,Branch_trg_sel,is_branch,RFWrite
0,add,0,0,0,0,0,0,0,1
1,sub,0,0,0,0,0,0,0,1
2,xor,0,0,0,0,0,0,0,1
3,or,0,0,0,0,0,0,0,1
4,and,0,0,0,0,0,0,0,1
5,sll,0,0,0,0,0,0,0,1
6,srl,0,0,0,0,0,0,0,1
7,sra,0,0,0,0,0,0,0,1
8,slt,0,0,0,0,0,0,0,1
9,addi,1,0,0,0,0,0,0,1
10,ori,1,0,0,0,0,0,0,1
11,andi,1,0,0,0,0,0,0,1
12,lb,1,1,1,0,1,0,0,1
13,lh,1,1,1,0,1,0,0,1
14,lw,1,1,1,0,1,0,0,1
15,sb,2,1,0,1,0,0,0,0
16,sh,2,1,0,1,0,0,0,0
17,sw,2,1,0,1,0,0,0,0
18,beq,0,0,0,0,0,0,0,0
19,bne,0,0,0,0,0,0,0,0
20,blt,0,0,0,0,0,0,0,0
21,bge,0,0,0,0,0,0,0,0
22,jal,0,0,0,0,3,1,1,0
23,jalr,0,0,0,0,3,1,1,0
24,lui,0,0,0,0,2,0,0,1
25,auipc,0,0,0,0,2,0,0,1